created_at,entry_id,Temperature,pH,Ammonia,DO,Salinity
2023-08-20 02:50:36 UTC,1301,27.69,5.47,0.42,6.54,30.23
2023-08-20 08:50:36 UTC,1302,29.63,4.69,0.4,5.99,29.81
2023-08-20 14:50:36 UTC,1303,28.13,4.88,0.36,5.99,29.96
2023-08-21 02:50:36 UTC,1304,27.5,5.19,0.36,6.54,29.8
2023-08-21 08:50:36 UTC,1305,28.38,4.38,0.39,5.99,29.8
2023-08-21 14:50:36 UTC,1306,27.31,4.88,0.37,6.54,29.73
2023-08-22 02:50:36 UTC,1307,26.69,4.89,0.27,8.2,30
2023-08-22 08:50:36 UTC,1308,29.56,3.72,0.37,5.99,29.81
2023-08-22 14:50:36 UTC,1309,27.75,4.2,0.31,6.54,29.96
2023-08-23 02:50:37 UTC,1310,27.88,4.55,0.36,6.54,29.9
2023-08-23 08:50:37 UTC,1311,29.88,3.06,0.3,7.1,30.1
2023-08-23 14:50:37 UTC,1312,28.25,3.82,0.39,5.99,29.77
2023-08-24 02:50:37 UTC,1313,28.81,4.85,0.34,5.99,29.74
2023-08-24 08:50:37 UTC,1314,32.5,5.44,0.39,5.44,29.74
2023-08-24 14:50:37 UTC,1315,29.25,5.86,0.37,5.99,29.76
2023-08-25 02:50:37 UTC,1316,27.75,6.36,0.34,6.54,29.8
2023-08-25 08:50:37 UTC,1317,31.06,5.4,0.29,5.99,30.04
2023-08-25 14:50:37 UTC,1318,28.75,6.1,0.37,5.99,29.78
2023-08-26 02:50:37 UTC,1319,27.25,6.29,0.4,6.54,29.77
2023-08-26 08:50:37 UTC,1320,30.38,5.85,0.4,5.44,29.76
2023-08-26 14:50:38 UTC,1321,27.94,6.36,0.37,6.54,29.74
2023-08-27 02:50:38 UTC,1322,28.63,6.33,0.42,5.99,29.78
2023-08-27 08:50:38 UTC,1323,31.5,5.08,0.44,5.44,29.77
2023-08-27 14:50:38 UTC,1324,28.81,5.91,0.4,5.99,29.97
2023-08-28 02:50:38 UTC,1325,28.44,5.92,0.42,5.99,29.77
2023-08-28 08:50:38 UTC,1326,29.63,5.47,0.34,5.99,29.78
2023-08-28 14:50:38 UTC,1327,28.38,5.91,0.46,5.99,29.79
2023-08-29 02:50:38 UTC,1328,27.88,6.33,0.46,6.54,29.79
2023-08-29 08:50:38 UTC,1329,31.13,5.16,0.5,5.44,29.79
2023-08-29 14:50:38 UTC,1330,28.81,5.72,0.48,5.99,29.79
2023-08-30 02:50:38 UTC,1331,27.94,6.3,0.48,6.54,29.79
2023-08-30 08:50:38 UTC,1332,30.75,4.41,0.39,6.54,30
2023-08-31 02:50:39 UTC,1333,27.75,4.85,0.18,6.54,29.82
2023-08-31 08:50:39 UTC,1334,30.38,3.71,0.15,5.99,29.81
2023-09-05 03:10:41 UTC,1335,27.88,5.66,0.28,5.99,29.6
2023-09-05 09:10:41 UTC,1336,30,7.08,0.28,4.89,29.6
2023-09-05 15:10:42 UTC,1337,28.44,7.28,0.29,5.44,29.61
2023-09-06 03:10:42 UTC,1338,26.38,7.58,0.24,6.54,29.76
2023-09-06 09:10:42 UTC,1339,28.19,7.25,0.27,5.44,29.87
2023-09-06 15:10:42 UTC,1340,27,7.41,0.24,6.54,29.87
2023-09-07 03:10:42 UTC,1341,27.06,7.26,0.21,6.54,29.82
2023-09-07 09:10:42 UTC,1342,29.13,7.53,0.22,5.99,29.83
2023-09-07 15:10:42 UTC,1343,27.5,7.51,0.2,5.99,29.98
2023-09-08 03:10:42 UTC,1344,27.94,7.28,0.19,5.99,29.71
2023-09-08 09:10:42 UTC,1345,29.25,0.21,0.21,5.44,29.7
2023-09-08 15:10:42 UTC,1346,27.69,7.3,0.18,5.44,29.73
2023-09-09 03:10:42 UTC,1347,28.44,7.11,0.19,7.1,29.74
2023-09-09 09:10:42 UTC,1348,29.31,6.8,0.21,5.44,29.83
2023-09-09 15:10:43 UTC,1349,27.56,7.33,0.19,5.99,29.67
2023-09-10 03:10:43 UTC,1350,27.88,7.39,0.21,7.1,29.76
2023-09-10 09:10:43 UTC,1351,30.38,6.8,0.25,5.99,29.71
2023-09-10 15:10:43 UTC,1352,28.38,7.16,0.22,5.44,29.73
2023-09-11 03:10:43 UTC,1353,28.31,7.27,0.21,6.54,29.71
2023-09-11 09:10:43 UTC,1354,31.13,7.1,0.28,5.99,29.78
2023-09-12 03:10:43 UTC,1355,29.56,6.98,0.29,6.54,29.78
2023-09-12 09:10:43 UTC,1356,32.19,6.9,0.29,5.99,29.91
2023-09-12 15:10:43 UTC,1357,29.38,6.66,0.23,5.99,29.92
2023-09-13 03:10:43 UTC,1358,29.69,6.72,0.26,7.1,30.03
2023-09-13 09:10:44 UTC,1359,32.31,5.97,0.26,5.44,30.05
2023-09-13 15:10:44 UTC,1360,29.44,6.3,0.23,5.44,29.78
2023-09-14 03:10:44 UTC,1361,29.13,6.57,0.26,6.54,29.94
2023-09-14 09:10:44 UTC,1362,32,5.78,0.24,5.44,29.92
2023-09-14 15:10:44 UTC,1363,29.31,6.19,0.22,5.44,29.82
2023-09-15 03:10:44 UTC,1364,29.38,6.61,0.36,6.54,30.25
2023-09-15 09:10:44 UTC,1365,32.81,6.26,0.36,5.99,29.83
2023-09-15 15:10:44 UTC,1366,30.19,6.25,0.29,5.44,29.74
2023-09-16 03:10:44 UTC,1367,29.13,6.64,0.36,5.99,29.77
2023-09-16 09:10:44 UTC,1368,32.38,6.11,0.29,5.99,29.81
2023-09-16 15:10:44 UTC,1369,30.19,6.36,0.27,5.44,29.86
2023-09-17 03:10:44 UTC,1370,29.75,6.58,0.33,6.54,29.81
2023-09-17 09:10:45 UTC,1371,31.88,6.31,0.33,5.99,29.95
2023-09-17 15:10:45 UTC,1372,29.81,6.41,0.29,5.99,30.01
2023-09-18 03:10:45 UTC,1373,28,7.13,0.37,6.54,30.03
2023-09-18 09:10:45 UTC,1374,32,6.41,0.39,4.89,29.89
2023-09-18 15:10:45 UTC,1375,28.5,6.77,0.24,5.44,29.91
2023-09-19 03:10:45 UTC,1376,28.81,7.17,0.27,7.1,30.17
2023-09-19 09:10:45 UTC,1377,32.5,6.3,0.27,5.99,30.04
2023-09-19 15:10:45 UTC,1378,27.81,7.02,0.22,5.99,30
2023-09-20 03:10:45 UTC,1379,27.88,7.48,0.18,7.65,29.98
2023-09-20 09:10:45 UTC,1380,28.75,7.28,0.17,7.65,29.94
2023-09-20 15:10:45 UTC,1381,27.63,7.46,0.15,5.99,30.06
